289,9923
pan236,371
pan376,886
pan396,181
pan279,764
pan147,239
pan252,879
pan131,161
377,8244
pan432,69
356,3908
pan227,688
pan465,449
pan146,743
pan411,773
pan150,650
29,8338
43,5233
pan139,704
pan60,418
pan468,397
pan9,165
458,5669
pan53,901
327,2234
pan329,846
pan19,605
pan104,468
160,4462
pan79,686
476,5195
142,7911
pan163,207
pan417,967
pan151,78
497,7600
pan102,125
422,2531
pan236,980
pan423,420
470,3921
pan233,743
pan440,925
260,9566
pan338,112
439,985
pan416,539
pan447,112
pan427,290
199,1481
pan473,750
pan68,496
493,8236
pan411,992
pan23,664
pan8,488
399,7308
364,5435
pan154,983
487,4768
238,3828
pan234,710
pan323,326
315,6234
479,2402
pan467,260
128,7762
pan63,327
pan398,840
167,631
pan495,474
pan58,642
384,5230
pan118,812
372,5657
pan484,173
pan246,402
pan74,531
266,8023
397,7522
pan224,157
pan218,381
pan449,692
pan113,326
pan270,627
pan295,260
pan50,360
81,2940
104,3787
127,7180
pan136,593
pan369,853
414,8671
pan92,373
220,4545
480,941
pan192,821
pan484,948
271,1
pan303,172
396,5741
249,3885
pan272,600
pan145,764
42,5893
483,3996
157,9895
105,1343
459,2225
pan131,563
224,7528
pan110,333
210,7007
pan327,596
72,9129
pan69,234
464,2819
pan307,948
pan32,561
95,6445
pan475,484
308,9920
168,1958
264,620
pan245,927
479,6129
pan150,167
pan98,861
159,3865
pan104,476
440,9923
361,6242
319,9023
439,2866
218,8185
pan348,928
367,5740
80,1868
446,3303
pan274,271
pan197,39
439,3782
pan314,537
181,5609
pan218,296
pan498,81
pan90,844
458,6110
pan113,825
pan385,848
pan276,678
pan410,449
447,81
pan56,884
353,4478
286,791
482,3303
444,9535
270,8347
pan470,957
148,4193
98,8275
179,7501
416,893
394,4966
pan185,257
pan489,750
376,4833
223,3726
32,7732
225,9124
pan353,643
pan206,425
99,3654
65,3939
pan174,930
424,9058
pan109,169
pan335,373
67,7198
43,2494
187,5290
pan464,684
pan118,109
57,2451
pan339,187
pan398,460
pan419,223
292,1361
pan343,575
189,3172
479,8347
pan15,375
pan124,461
pan427,146
466,3748
427,5876
150,8280
pan363,793
290,2141
pan315,409
162,6368
pan390,718
351,4180
498,9112
98,7453
327,1486
pan107,917
pan401,620
pan394,615
pan303,805
23,3036
pan241,598
pan273,175
237,3228
191,1209
pan177,657
447,2383
pan67,260
34,352
pan191,586
227,4136
325,4700
pan352,654
pan80,459
290,6615
pan299,221
pan182,154
442,7694
pan146,340
pan85,880
73,8075
pan273,942
427,4255
238,5489
353,4460
426,1327
pan80,871
275,5362
467,9772
pan347,68
422,2703
pan217,769
472,8160
pan313,755
pan125,78
pan452,396
pan323,660
37,7607
pan161,201
229,9441
pan284,266
pan53,516
65,4539
320,1341
pan251,381
pan147,979
pan307,652
pan267,257
468,489
409,1336
pan27,734
43,54
pan82,944
pan423,657
pan156,36
136,540
pan140,496
pan397,128
238,8150
426,4981
pan160,393
66,9090
pan10,193
pan20,861
408,1201
448,8293
296,531
277,2929
pan427,446
pan260,931
pan153,825
pan244,98
289,6914
150,1812
203,8485
496,2315
380,5632
pan161,442
108,5648
pan391,93
pan217,815
167,3198
434,4647
pan246,458
pan84,642
pan251,233
pan235,773
pan177,109
pan326,74
pan271,466
86,6618
pan136,923
pan283,177
pan94,867
pan236,912
pan469,808
242,6552
203,6029
pan277,167
pan95,765
213,8754
pan489,313
pan166,539
pan385,51
pan149,309
pan457,504
362,9949
pan391,630
410,2341
175,377
pan429,537
pan242,635
133,1869
184,887
pan346,851
pan350,51
151,3073
134,9337
pan475,656
pan204,105
241,2502
376,7112
98,4211
485,9680
189,2386
240,2890
313,6056
2,2083
159,7002
pan116,682
pan118,538
pan230,323
pan293,702
pan325,215
pan64,265
306,1160
362,7406
446,655
300,9538
pan482,396
20,4310
343,2466
pan46,851
261,5333
378,2801
39,4810
297,2412
pan452,327
pan342,244
pan90,173
pan400,570
367,1585
pan218,683
pan51,779
pan205,200
pan367,685
279,2476
pan458,982
pan203,934
pan228,686
pan298,921
235,4176
pan271,478
pan50,475
250,7437
pan287,277
pan115,157
98,9833
pan32,314
219,5136
492,4049
20,2362
pan498,894
325,6144
262,9445
392,4304
pan49,530
pan234,887
pan48,703
pan37,574
438,1673
152,922
46,9259
pan42,14
487,4024
pan143,783
pan173,330
413,9492
116,5604
pan191,248
216,6816
491,8523
250,603
116,2181
140,7084
pan424,750
pan254,160
98,4119
pan202,165
302,4259
pan118,242
pan494,163
97,7736
278,7207
pan362,720
pan465,72
pan125,568
pan97,442
pan262,876
pan373,279
467,5225
130,1388
